r&c	乌鲁木齐	西宁	兰州	西安	郑州	徐州	呼和浩特	北京	天津	哈尔滨	长春	沈阳	大连	成都	武汉	上海	南昌	福州	株洲	广州	深圳	贵阳	昆明	柳州	南宁
乌鲁木齐	0	NC	1892	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
西宁	NC	0	216	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
兰州	1892	216	0	676	NC	NC	1145	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
西安	NC	NC	676	0	511	NC	NC	NC	NC	NC	NC	NC	NC	842	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
郑州	NC	NC	NC	511	0	349	NC	695	NC	NC	NC	NC	NC	NC	534	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
徐州	NC	NC	349	NC	NC	0	NC	NC	674	NC	NC	NC	NC	NC	NC	651	NC	NC	NC	NC	NC	NC	NC	NC	NC
呼和浩特	NC	NC	1145	NC	NC	NC	0	668	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
北京	NC	NC	NC	NC	695	668	NC	0	137	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
天津	NC	NC	NC	NC	NC	674	NC	137	0	NC	NC	704	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
哈尔滨	NC	NC	NC	NC	NC	NC	NC	NC	NC	0	242	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
长春	NC	NC	NC	NC	NC	NC	NC	NC	NC	242	0	305	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
沈阳	NC	NC	NC	NC	NC	NC	NC	NC	704	NC	305	0	397	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
大连	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	397	0	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
成都	NC	NC	NC	842	NC	NC	NC	NC	NC	NC	NC	NC	NC	0	NC	NC	NC	NC	NC	NC	NC	967	1100	NC	NC
武汉	NC	NC	NC	NC	534	NC	NC	NC	NC	NC	NC	NC	NC	NC	0	NC	NC	NC	409	NC	NC	NC	NC	NC	NC
上海	NC	NC	NC	NC	NC	651	NC	NC	NC	NC	NC	NC	NC	NC	NC	0	825	NC	NC	NC	NC	NC	NC	NC	NC
南昌	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	825	0	622	367	NC	NC	NC	NC	NC	NC
福州	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	622	0	NC	NC	NC	NC	NC	NC	NC
株洲	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	409	NC	367	NC	0	675	NC	902	NC	672	NC
广州	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	675	0	140	NC	NC	NC	NC
深圳	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	140	0	NC	NC	NC	NC
贵阳	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	967	NC	NC	NC	NC	902	NC	NC	0	639	607	NC
昆明	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1100	NC	NC	NC	NC	NC	NC	NC	639	0	NC	NC
柳州	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	672	NC	NC	607	NC	0	255
南宁	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	255	0
